                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 2.8287,                 3.5813,                 3.7255,                 0.0048,                0.69481,                0.01736,                0.00583,                 2.4127,                 4.0178,                 3.7995,               0.014448,              0.0094477,              0.0094477
                     97,                 2.9112,                 3.5924,                 3.7694,                 0.0048,                0.69481,                0.01736,                0.00583,                 2.4127,                 4.0178,                 3.7995,               0.013546,              0.0095461,              0.0095461
                     98,                 2.7485,                  3.675,                  3.729,                 0.0048,                0.69481,                0.01736,                0.00583,                 2.4127,                 4.0178,                 3.7995,               0.012644,              0.0096444,              0.0096444
                     99,                 3.1274,                 3.6065,                  3.762,                 0.0048,                0.69481,                0.01736,                0.00583,                 2.4127,                 4.0178,                 3.7995,               0.011743,              0.0097426,              0.0097426
                    100,                 2.7345,                 3.8781,                 3.8143,                0.00745,                0.83766,                0.01606,                0.00512,                 2.3964,                 3.9657,                 3.7932,               0.010841,              0.0098409,              0.0098409
                    101,                 2.9216,                 3.6038,                 3.7543,                0.00745,                0.83766,                0.01606,                0.00512,                 2.3964,                 3.9657,                 3.7932,              0.0099391,              0.0099391,              0.0099391
                    102,                 2.7254,                 3.6422,                 3.7027,                0.00745,                0.83766,                0.01606,                0.00512,                 2.3964,                 3.9657,                 3.7932,              0.0099391,              0.0099391,              0.0099391
                    103,                 2.6913,                  3.592,                 3.7113,                0.00745,                0.83766,                0.01606,                0.00512,                 2.3964,                 3.9657,                 3.7932,              0.0099378,              0.0099378,              0.0099378
                    104,                 3.0218,                 3.5706,                 3.6398,                0.00746,                0.83766,                0.01795,                 0.0058,                  2.435,                 3.6644,                 3.8366,              0.0099366,              0.0099366,              0.0099366
                    105,                 2.7155,                 3.7047,                 3.6456,                0.00746,                0.83766,                0.01795,                 0.0058,                  2.435,                 3.6644,                 3.8366,              0.0099354,              0.0099354,              0.0099354
                    106,                 2.7941,                 3.6755,                 3.6168,                0.00746,                0.83766,                0.01795,                 0.0058,                  2.435,                 3.6644,                 3.8366,              0.0099341,              0.0099341,              0.0099341
                    107,                 2.7316,                 3.6396,                 3.6361,                0.00746,                0.83766,                0.01795,                 0.0058,                  2.435,                 3.6644,                 3.8366,              0.0099328,              0.0099328,              0.0099328
                    108,                   3.15,                 3.6243,                 3.7398,                0.00691,                0.79221,                0.01542,                0.00486,                 2.4429,                 3.6493,                 3.8418,              0.0099315,              0.0099315,              0.0099315
                    109,                 2.5069,                 3.5456,                 3.5726,                0.00691,                0.79221,                0.01542,                0.00486,                 2.4429,                 3.6493,                 3.8418,              0.0099302,              0.0099302,              0.0099302
                    110,                 2.7544,                 3.8767,                 3.7251,                0.00691,                0.79221,                0.01542,                0.00486,                 2.4429,                 3.6493,                 3.8418,              0.0099289,              0.0099289,              0.0099289
                    111,                 2.5906,                 3.5256,                 3.7365,                0.00691,                0.79221,                0.01542,                0.00486,                 2.4429,                 3.6493,                 3.8418,              0.0099276,              0.0099276,              0.0099276
                    112,                  2.921,                  3.485,                 3.7207,                0.00766,                0.79221,                0.01727,                0.00502,                 2.4076,                 3.7222,                 3.8088,              0.0099263,              0.0099263,              0.0099263
                    113,                 2.8139,                 3.6136,                 3.7348,                0.00766,                0.79221,                0.01727,                0.00502,                 2.4076,                 3.7222,                 3.8088,              0.0099249,              0.0099249,              0.0099249
                    114,                  2.847,                 3.6225,                 3.6822,                0.00766,                0.79221,                0.01727,                0.00502,                 2.4076,                 3.7222,                 3.8088,              0.0099236,              0.0099236,              0.0099236
                    115,                 2.6424,                 3.5829,                 3.6633,                0.00766,                0.79221,                0.01727,                0.00502,                 2.4076,                 3.7222,                 3.8088,              0.0099222,              0.0099222,              0.0099222
                    116,                 2.6541,                 3.7008,                 3.6056,                0.00679,                0.79221,                 0.0155,                0.00655,                 2.2521,                 4.1045,                 3.6844,              0.0099208,              0.0099208,              0.0099208
                    117,                 2.9021,                 3.7133,                 3.7309,                0.00679,                0.79221,                 0.0155,                0.00655,                 2.2521,                 4.1045,                 3.6844,              0.0099195,              0.0099195,              0.0099195
                    118,                 2.7902,                 3.6553,                 3.6859,                0.00679,                0.79221,                 0.0155,                0.00655,                 2.2521,                 4.1045,                 3.6844,              0.0099181,              0.0099181,              0.0099181
                    119,                 2.7679,                 3.7228,                 3.7051,                0.00679,                0.79221,                 0.0155,                0.00655,                 2.2521,                 4.1045,                 3.6844,              0.0099166,              0.0099166,              0.0099166
                    120,                 2.7606,                 3.6247,                 3.6492,                0.00739,                0.83766,                0.02446,                0.01417,                 2.2355,                 4.0137,                 3.6356,              0.0099152,              0.0099152,              0.0099152
                    121,                 2.8005,                 3.7614,                 3.7284,                0.00739,                0.83766,                0.02446,                0.01417,                 2.2355,                 4.0137,                 3.6356,              0.0099138,              0.0099138,              0.0099138
                    122,                 2.7934,                  3.393,                 3.5699,                0.00739,                0.83766,                0.02446,                0.01417,                 2.2355,                 4.0137,                 3.6356,              0.0099123,              0.0099123,              0.0099123
                    123,                  2.568,                 3.3132,                 3.6161,                0.00739,                0.83766,                0.02446,                0.01417,                 2.2355,                 4.0137,                 3.6356,              0.0099109,              0.0099109,              0.0099109
                    124,                 2.7926,                 3.7382,                 3.6671,                0.00485,                0.74675,                0.04338,                0.01509,                 2.2504,                 3.9392,                 3.6098,              0.0099094,              0.0099094,              0.0099094
                    125,                 2.5595,                 3.5866,                 3.5155,                0.00485,                0.74675,                0.04338,                0.01509,                 2.2504,                 3.9392,                 3.6098,              0.0099079,              0.0099079,              0.0099079
                    126,                 2.8055,                 3.6269,                  3.625,                0.00485,                0.74675,                0.04338,                0.01509,                 2.2504,                 3.9392,                 3.6098,              0.0099064,              0.0099064,              0.0099064
                    127,                 2.5005,                 3.4115,                 3.4591,                0.00485,                0.74675,                0.04338,                0.01509,                 2.2504,                 3.9392,                 3.6098,              0.0099049,              0.0099049,              0.0099049
                    128,                 2.6464,                 3.5237,                 3.5266,                0.00366,                0.55844,                0.00794,                0.00259,                 2.8233,                 3.9703,                 4.0087,              0.0099034,              0.0099034,              0.0099034
                    129,                 2.6954,                 3.6722,                 3.6938,                0.00366,                0.55844,                0.00794,                0.00259,                 2.8233,                 3.9703,                 4.0087,              0.0099018,              0.0099018,              0.0099018
                    130,                 2.6486,                 3.5439,                  3.555,                0.00366,                0.55844,                0.00794,                0.00259,                 2.8233,                 3.9703,                 4.0087,              0.0099003,              0.0099003,              0.0099003
                    131,                 2.7751,                 3.6321,                 3.5765,                0.00366,                0.55844,                0.00794,                0.00259,                 2.8233,                 3.9703,                 4.0087,              0.0098987,              0.0098987,              0.0098987
                    132,                  2.639,                 3.5183,                 3.5828,                0.00517,                0.79221,                0.01713,                0.00448,                 2.3865,                 3.8763,                 3.6474,              0.0098972,              0.0098972,              0.0098972
                    133,                  2.665,                 3.4553,                 3.5148,                0.00517,                0.79221,                0.01713,                0.00448,                 2.3865,                 3.8763,                 3.6474,              0.0098956,              0.0098956,              0.0098956
